,dia,Cangas B,A Pobra A,Baiona A,Vigo A,Redondela E,Redondela D,Redondela C,Redondela B,Redondela A (Ostra),Redondela A,Cangas E,Cangas D,Cangas C,Cangas H,Cangas G,Cangas F,Portonovo C,Portonovo B,Portonovo A,Bueu A1,Bueu A2,Bueu B,Cangas A,Grove C4,Grove C3,Grove C2,Grove C1,Grove B (Ostra),Grove A (Ostra),Grove A,Cambados D (Ostra),Cambados D,Cambados C (Sur),Cambados C (Norte),Cambados B,Cambados A1,"Cambados A2, E",Vilagarcía A,A Pobra D,A Pobra C,A Pobra B,A Pobra G,A Pobra H,Ribeira C,Ribeira B,Muros C,Noia A,Muros A,Muros B,Sada 2,Sada 1,Camariñas A,A Pobra E.2,A Pobra E.1,Vilagarcía B2,Vilagarcía B1
0,16/1/2014,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17/1/2014,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18/1/2014,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19/1/2014,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20/1/2014,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21/1/2014,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22/1/2014,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,23/1/2014,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24/1/2014,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25/1/2014,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
