fecha,UI,abierto/cerrado
2018-01-01,-2739.95,0
2018-01-02,-2154.925,0
2018-01-03,-3100.275,0
2018-01-04,-4576.3075,0
2018-01-05,49.140000000000015,0
2018-01-06,283.97974999999997,0
2018-01-07,3818.675,0
2018-01-08,199.6725,0
2018-01-09,-2497.165,0
2018-01-10,-16.896000000000043,0
2018-01-11,-2714.026,0
2018-01-12,-3213.4775000000004,0
2018-01-13,-255.68765,0
2018-01-14,-214.035,0
2018-01-15,-1784.2450000000001,0
2018-01-16,105.92775,0
2018-01-17,9.390150000000006,0
2018-01-18,124.14625000000001,0
2018-01-19,-705.415,0
2018-01-20,-688.7425000000001,0
2018-01-21,-985.25,0
2018-01-22,-838.1899999999999,0
2018-01-23,-3939.6400000000003,0
2018-01-24,-915.53375,0
2018-01-25,773.6099999999999,0
2018-01-26,428.1597,0
2018-01-27,543.7675,0
2018-01-28,278.4475,0
2018-01-29,571.73475,0
2018-01-30,317.06,0
2018-01-31,711.643,0
2018-02-01,1483.55,0
2018-02-02,257.35525,0
2018-02-03,1365.0349999999999,0
2018-02-04,4806.5,0
2018-02-05,2044.4575,0
2018-02-06,2109.8275,0
2018-02-07,603.82275,0
2018-02-08,-673.2727500000001,0
2018-02-09,535.2655,0
2018-02-10,-345.7925,0
2018-02-11,370.642,0
2018-02-12,-2718.0482500000003,0
2018-02-13,-4136.65,0
2018-02-14,-3180.25,0
2018-02-15,-2289.35,0
2018-02-16,639.9825000000001,0
2018-02-17,965.961925,0
2018-02-18,1266.27,0
2018-02-19,2539.7,0
2018-02-20,2856.625,0
2018-02-21,1617.8289,0
2018-02-22,-117.23275000000001,0
2018-02-23,-249.10049999999998,0
2018-02-24,-141.6635,0
2018-02-25,-280.96000000000004,0
2018-02-26,57.4535,0
2018-02-27,257.89,0
2018-02-28,-1014.9999999999999,0
2018-03-01,-2889.1,0
2018-03-02,-4517.875,0
2018-03-03,-2383.895,0
2018-03-04,-2632.0074999999997,0
2018-03-05,-1347.1599999999999,0
2018-03-06,-867.725,0
2018-03-07,-2983.025,0
2018-03-08,-6031.75,1
2018-03-09,-7155.3,1
2018-03-10,-17149.025,1
2018-03-11,-391.52824999999996,1
2018-03-12,-2696.9249999999997,1
2018-03-13,-9194.725,1
2018-03-14,-9636.85,1
2018-03-15,-1510.4375,1
2018-03-16,-603.56525,1
2018-03-17,-37.39475,1
2018-03-18,154.95975,1
2018-03-19,2217.2,1
2018-03-20,2220.6575000000003,1
2018-03-21,1381.25455,1
2018-03-22,-1607.1525000000001,1
2018-03-23,2279.975,1
2018-03-24,457.7125,1
2018-03-25,300.6575,1
2018-03-26,-534.995,1
2018-03-27,-2110.04,1
2018-03-28,-856.77,1
2018-03-29,-3870.86825,1
2018-03-30,1063.1325000000002,1
2018-03-31,-5521.525,1
2018-04-01,-3584.655,1
2018-04-02,-5691.425,1
2018-04-03,-3279.275,1
2018-04-04,-2171.0975,1
2018-04-05,-5900.6175,1
2018-04-06,-2685.4075,1
2018-04-07,-751.3774999999998,1
2018-04-08,1643.0975,1
2018-04-09,-41.912500000000044,1
2018-04-10,576.725,1
2018-04-11,-1542.0875,1
2018-04-12,457.6325,1
2018-04-13,401.1125,1
2018-04-14,-1913.0774999999999,1
2018-04-15,-1653.2275,1
2018-04-16,-5005.65,1
2018-04-17,-948.75325,1
2018-04-18,497.23400000000004,1
2018-04-19,3348.475,1
2018-04-20,808.54125,1
2018-04-21,405.46972500000004,1
2018-04-22,7201.275,1
2018-04-23,9083.525,1
2018-04-24,6373.5,1
2018-04-25,7162.799999999999,1
2018-04-26,1996.3,1
2018-04-27,-56.67869999999999,1
2018-04-28,650.50625,1
2018-04-29,-1368.6499999999999,1
2018-04-30,1308.31375,1
2018-05-01,-2807.8625,1
2018-05-02,-1689.8274999999999,1
2018-05-03,7215.55,1
2018-05-04,5525.5,1
2018-05-05,1794.5675,1
2018-05-06,1399.825,1
2018-05-07,2085.0075,1
2018-05-08,5084.425,1
2018-05-09,3183.825,1
2018-05-10,955.2750000000001,1
2018-05-11,301.256575,1
2018-05-12,76.88692499999999,1
2018-05-13,858.9390000000001,1
2018-05-14,4452.65,1
2018-05-15,8333.45,1
2018-05-16,8841.55,1
2018-05-17,7542.575,1
2018-05-18,4896.8025,1
2018-05-19,1967.6325,1
2018-05-20,58.816,1
2018-05-21,150.036,1
2018-05-22,573.005,1
2018-05-23,764.6167499999999,1
2018-05-24,4184.25,1
2018-05-25,9556.15,1
2018-05-26,2087.2000000000003,1
2018-05-27,474.72,1
2018-05-28,2728.225,1
2018-05-29,912.48425,1
2018-05-30,-79.02850000000001,1
2018-05-31,-304.7,1
2018-06-01,2385.0,1
2018-06-02,-490.5075,1
2018-06-03,-1016.37,1
2018-06-04,136.247,1
2018-06-05,642.845,1
2018-06-06,-726.3749999999999,1
2018-06-07,20.347250000000003,1
2018-06-08,-1199.7820000000002,1
2018-06-09,572.2845,1
2018-06-10,772.08375,1
2018-06-11,1960.625,1
2018-06-12,2909.125,1
2018-06-13,2613.5025,1
2018-06-14,1016.8824999999999,1
2018-06-15,5565.22,1
2018-06-16,7162.0,1
2018-06-17,4894.55,1
2018-06-18,10117.525,1
2018-06-19,177.72074999999998,1
2018-06-20,2452.8325,1
2018-06-21,3126.0525000000002,1
2018-06-22,1286.69,1
2018-06-23,63.8255,1
2018-06-24,44.75685,1
2018-06-25,1238.9225000000001,1
2018-06-26,937.92125,1
2018-06-27,2263.3125,1
2018-06-28,2137.2332499999998,1
2018-06-29,33.36325,1
2018-06-30,-176.232,1
2018-07-01,-522.4475,1
2018-07-02,-920.0125,1
2018-07-03,-550.33475,1
2018-07-04,-120.24275,1
2018-07-05,368.88,1
2018-07-06,1088.085,1
2018-07-07,2449.95,1
2018-07-08,4288.6825,1
2018-07-09,1431.625,1
2018-07-10,7386.0,1
2018-07-11,7122.675,1
2018-07-12,2092.365025,1
2018-07-13,194.74107000000004,1
2018-07-14,-274.58074999999997,1
2018-07-15,-271.981,1
2018-07-16,1510.3045,1
2018-07-17,6790.675,1
2018-07-18,1005.52,1
2018-07-19,5066.35,1
2018-07-20,2486.82775,1
2018-07-21,1578.24,1
2018-07-22,1906.764,1
2018-07-23,-131.39475000000002,1
2018-07-24,2527.325,1
2018-07-25,480.7875,1
2018-07-26,-163.39577500000001,1
2018-07-27,45.129999999999995,1
2018-07-28,-2249.3125,1
