fecha,UI,abierto/cerrado,ao
2017-01-02,-3058.1499999999996,0.0,67.7
2017-01-03,-1082.685,0.0,67.7
2017-01-04,-372.3125,0.0,67.7
2017-01-05,-37.43124999999999,0.0,67.7
2017-01-06,-59.097049999999996,0.0,67.7
2017-01-07,-124.03425,0.0,67.7
2017-01-08,-15.761750000000001,0.0,67.7
2017-01-09,446.56425,0.0,87.7
2017-01-10,817.04,0.0,87.7
2017-01-11,-84.5,0.0,87.7
2017-01-12,523.5975,0.0,87.7
2017-01-13,250.445,0.0,87.7
2017-01-14,65.93175,0.0,87.7
2017-01-15,214.76125000000002,0.0,87.7
2017-01-16,1445.325,0.0,73.2
2017-01-17,1598.075,0.0,73.2
2017-01-18,850.1225,0.0,73.2
2017-01-19,239.42649999999998,0.0,73.2
2017-01-20,330.10015000000004,0.0,73.2
2017-01-21,1.2637500000000017,0.0,73.2
2017-01-22,-195.10750000000002,0.0,73.2
2017-01-23,255.04274999999998,0.0,61.7
2017-01-24,-3052.8175,0.0,61.7
2017-01-25,-5448.725,0.0,61.7
2017-01-26,-816.6500000000001,0.0,61.7
2017-01-27,-429.0,0.0,61.7
2017-01-28,-3427.25,0.0,61.7
2017-01-29,-4020.1,0.0,61.7
2017-01-30,-5062.776,0.0,49.0
2017-01-31,-2724.2614,0.0,49.0
2017-02-01,-8776.525,0.0,49.0
2017-02-02,-8099.025,0.0,49.0
2017-02-03,-7592.675,0.0,49.0
2017-02-04,-3639.8250000000003,0.0,49.0
2017-02-05,-4003.92,0.0,49.0
2017-02-06,-1175.38575,0.0,49.0
2017-02-07,58.149499999999996,0.0,49.0
2017-02-08,-4313.193,0.0,49.0
2017-02-09,-8758.725,0.0,49.0
2017-02-10,551.81475,0.0,49.0
2017-02-11,3287.275,0.0,49.0
2017-02-12,-1660.096,0.0,49.0
2017-02-13,-3010.7749999999996,0.0,49.0
2017-02-14,-1029.72,0.0,49.0
2017-02-15,-84.954475,0.0,0.0
2017-02-16,-23.99225,0.0,0.0
2017-02-17,-331.9075,1.0,52.0
2017-02-18,1620.4825,1.0,52.0
2017-02-19,1686.9175,1.0,52.0
2017-02-20,1099.7525,1.0,52.0
2017-02-21,295.00075,1.0,52.0
2017-02-22,948.74475,1.0,41.4
2017-02-23,2798.6425,1.0,41.4
2017-02-24,1568.31275,1.0,41.4
2017-02-25,-566.137,1.0,41.4
2017-02-26,-1554.17,1.0,41.4
2017-02-27,-1549.7675,1.0,41.4
2017-02-28,-1637.745,1.0,41.4
2017-03-01,-3697.975,1.0,41.4
2017-03-02,-3306.0625,1.0,41.4
2017-03-03,-403.5215,1.0,41.4
2017-03-04,-1692.1499999999999,1.0,41.4
2017-03-05,-1567.78825,1.0,41.4
2017-03-06,-429.232,1.0,0.0
2017-03-07,-70.9965,1.0,0.0
2017-03-08,65.7895,0.0,0.0
2017-03-09,-199.205825,0.0,0.0
2017-03-10,-397.975,0.0,79.0
2017-03-11,471.18,0.0,79.0
2017-03-12,1682.74,0.0,79.0
2017-03-13,5392.225,0.0,93.1
2017-03-14,1347.275,0.0,93.1
2017-03-15,137.35,0.0,93.1
2017-03-16,321.5025,0.0,74.1
2017-03-17,3733.1749999999997,0.0,74.1
2017-03-18,3921.55,0.0,74.1
2017-03-19,2888.5147500000003,0.0,74.1
2017-03-20,320.3025,0.0,59.9
2017-03-21,-888.784,0.0,59.9
2017-03-22,802.8050000000001,0.0,59.9
2017-03-23,1040.945,0.0,59.9
2017-03-24,463.32225,0.0,43.6
2017-03-25,-689.685,0.0,43.6
2017-03-26,-1479.226,0.0,43.6
2017-03-27,-3432.575,0.0,44.8
2017-03-28,-4686.85,0.0,44.8
2017-03-29,-5176.275,0.0,44.8
2017-03-30,-3683.35,0.0,61.0
2017-03-31,-229.01,0.0,61.0
2017-04-01,125.1411,0.0,61.0
2017-04-02,1715.975,0.0,61.0
2017-04-03,1503.655,0.0,101.0
2017-04-04,6795.625,0.0,101.8
2017-04-05,1134.8455,0.0,101.8
2017-04-06,204.9118325,0.0,80.1
2017-04-07,-37.946725,0.0,80.1
2017-04-08,-27.722,0.0,80.1
2017-04-09,15.914492500000009,0.0,80.1
2017-04-10,1148.6299999999999,1.0,193.0
2017-04-11,188.89375,1.0,193.0
2017-04-12,27.35195,1.0,193.0
2017-04-13,-148.25,1.0,193.0
2017-04-14,469.29075,1.0,193.0
2017-04-15,2727.2025,1.0,193.0
2017-04-16,227.6825,1.0,193.0
2017-04-17,134.70825,1.0,193.0
2017-04-18,1573.6599999999999,1.0,193.0
2017-04-19,3068.25,1.0,395.0
2017-04-20,-384.83775,1.0,395.0
2017-04-21,23.582849999999997,1.0,395.0
2017-04-22,269.194,1.0,395.0
2017-04-23,370.055,1.0,395.0
2017-04-24,179.042325,1.0,395.0
2017-04-25,3700.175,1.0,395.0
2017-04-26,3932.0750000000003,1.0,672.1
2017-04-27,4503.175,1.0,672.1
2017-04-28,288.2575,1.0,672.1
2017-04-29,-2318.6400000000003,1.0,672.1
2017-04-30,-867.01175,1.0,672.1
2017-05-01,-226.315,1.0,672.1
2017-05-02,797.9475,1.0,672.1
2017-05-03,-31.556000000000004,1.0,672.1
2017-05-04,-780.2874999999999,1.0,280.5
2017-05-05,-2887.1675,1.0,280.5
2017-05-06,-984.932,1.0,280.5
2017-05-07,625.285875,1.0,280.5
2017-05-08,443.4436925,1.0,280.5
2017-05-09,-1827.6275,1.0,478.7
2017-05-10,-3460.375,1.0,478.7
2017-05-11,-1184.64,1.0,478.7
2017-05-12,-2593.2125,1.0,478.7
2017-05-13,-2058.55,1.0,478.7
2017-05-14,-1296.6225,1.0,478.7
2017-05-15,-150.4275,1.0,478.7
2017-05-16,230.811875,1.0,478.7
2017-05-17,979.48,1.0,478.7
2017-05-18,248.94774999999998,1.0,478.7
2017-05-19,540.433,1.0,478.7
2017-05-20,1330.00975,1.0,478.7
2017-05-21,2139.95,1.0,478.7
2017-05-22,3860.875,1.0,478.7
2017-05-23,823.37975,1.0,478.7
2017-05-24,112.53025,1.0,478.7
2017-05-25,482.022,1.0,478.7
2017-05-26,755.6725,1.0,567.7
2017-05-27,-60.129175000000004,1.0,567.7
2017-05-28,-236.43125,1.0,567.7
2017-05-29,269.30025,1.0,567.7
2017-05-30,1927.225,1.0,567.7
2017-05-31,1183.65,1.0,567.7
2017-06-01,223.4875,1.0,404.7
2017-06-02,4623.725,1.0,404.7
2017-06-03,2112.9375,1.0,404.7
2017-06-04,-553.635,1.0,404.7
2017-06-05,-73.08949999999993,1.0,404.7
2017-06-06,1245.65,1.0,404.7
2017-06-07,-24.413200000000003,1.0,404.7
2017-06-08,-39.562,1.0,213.1
2017-06-09,-289.2175,1.0,122.7
2017-06-10,850.84375,1.0,122.7
2017-06-11,10165.275,1.0,122.7
2017-06-12,3490.1083,1.0,158.5
2017-06-13,2191.75,1.0,158.5
2017-06-14,6969.025,1.0,79.8
2017-06-15,8489.175,1.0,79.8
2017-06-16,103.83749999999999,1.0,55.23333333333333
2017-06-17,-108.622,1.0,55.23333333333333
2017-06-18,-125.8644,1.0,55.23333333333333
2017-06-19,-102.79899999999999,1.0,66.1
2017-06-20,-95.77425000000001,1.0,66.1
2017-06-21,332.643675,1.0,66.1
2017-06-22,189.00300000000001,1.0,66.1
2017-06-23,393.21074999999996,1.0,66.1
2017-06-24,2933.65,1.0,66.1
2017-06-25,1664.7825,1.0,66.1
