Polígono,Xan,Feb,Mar,Abr,Mai,Xun,Xull,Ago,Set,Out,Nov,Dec,Total
Vilagarcía B1,,,,,,,,,,,,,
Vilagarcía B2,,,,,,,,,,,,,
A Pobra E.1,,,,,,,,,,,,,
A Pobra E.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Camariñas A,20.0,29.0,31.0,12.0,21.0,,,,,,,,113.0
,,,,,,,,,,,,,
Sada 1,,,,,28.0,19.0,,,,,,,47.0
Sada 2,,,,15.0,31.0,21.0,,,,,,,67.0
,,,,,,,,,,,,,
Muros B,,,,,16.0,4.0,,,,,,,20.0
Muros A,,,,,16.0,,,,,,,,16.0
Noia A,,,,,7.0,,,,,,,,7.0
Muros C,20.0,27.0,,,25.0,7.0,,,,,,,79.0
,,,,,,,,,,,,,
Ribeira B,,,,,,,,,,,,,
Ribeira C,,,,,8.0,,,,,,,,8.0
A Pobra H,,,,,,,,,,,,,
A Pobra G,,,,,,,,,,,,,
A Pobra A,,,,,,,,,,,,,
A Pobra B,,,,,,,,,,,,,
A Pobra C,,,,,,,,,,,,,
A Pobra D,,,,,,,,,,,,,
Vilagarcía A,,,,,,,,,,,,,
"Cambados A2, E",,,,,,,,,,,,,
Cambados A1,,,,,,,,,,,,,
Cambados B,,,,,,,,,,,,,
Cambados C (Norte),,,,,,,,,,,,,
Cambados C (Sur),,,,,,,,,,,,,
Cambados D,,,,,,,,,,,,,
Cambados D (Ostra),,,,,,,,,,,,,
Grove A,,,,,,,,,,,,,
Grove A (Ostra),,,,,,,,,,,,,
Grove B (Ostra),31.0,29.0,31.0,30.0,31.0,23.0,,,,,,,175.0
Grove C1,,,,,,,,,,,,,
Grove C2,,,,,10.0,,,,,,,,10.0
Grove C3,,,,,,,,,,,,,
Grove C4,,,,,10.0,,,,,,,,10.0
,,,,,,,,,,,,,
Cangas A,,,,,19.0,11.0,,,,,,,30.0
Cangas B,,,,,21.0,8.0,,,,,,,29.0
Bueu B,,14.0,1.0,18.0,23.0,1.0,,,,,,,57.0
Bueu A2,,4.0,,16.0,31.0,8.0,,,,,,,59.0
Bueu A1,,4.0,,16.0,31.0,8.0,,,,,,,59.0
Portonovo A,,4.0,,16.0,31.0,5.0,,,,,,,56.0
Portonovo B,,,,16.0,31.0,5.0,,,,,,,52.0
Portonovo C,,,,16.0,31.0,7.0,,,,,,,54.0
,,,,,,,,,,,,,
Cangas F,,,,4.0,23.0,20.0,,,,,,,47.0
Cangas G,,,,7.0,25.0,7.0,,,,,,,39.0
Cangas H,,,,,18.0,7.0,,,,,,,25.0
Cangas C,,,,,7.0,,,,,,,,7.0
Cangas D,,,,,2.0,,,,,,,,2.0
Cangas E,,,,,,,,,,,,,
Redondela A,,,,,,,,,,,,,
Redondela A (Ostra),,,,,,,,,,,,,
Redondela B,,,,,,,,,,,,,
Redondela C,,,,,,,,,,,,,
Redondela D,,,,,,,,,,,,,
Redondela E,,,,,,,,,,,,,
Vigo A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Baiona A,,14.0,31.0,30.0,31.0,23.0,,,,,,,129.0
