,fecha,abierto/cerrado,ao
0,2014-01-16,1,94.8
1,2014-01-17,1,94.8
2,2014-01-18,1,94.8
3,2014-01-19,1,94.8
4,2014-01-20,1,94.8
5,2014-01-21,1,94.8
6,2014-01-22,0,94.8
7,2014-01-23,0,94.8
8,2014-01-24,0,94.8
9,2014-01-25,0,94.8
10,2014-01-26,0,94.8
11,2014-01-27,0,94.8
12,2014-01-28,0,94.8
13,2014-01-29,0,94.8
14,2014-01-30,0,0.0
15,2014-01-31,0,0.0
16,2014-02-01,0,0.0
17,2014-02-02,0,0.0
18,2014-02-03,0,0.0
19,2014-02-04,0,0.0
20,2014-02-05,0,0.0
21,2014-02-06,0,0.0
22,2014-02-07,0,0.0
23,2014-02-08,0,0.0
24,2014-02-09,0,0.0
25,2014-02-10,0,0.0
26,2014-02-11,0,0.0
27,2014-02-12,0,0.0
28,2014-02-13,0,0.0
29,2014-02-14,0,0.0
30,2014-02-15,0,0.0
31,2014-02-16,0,0.0
32,2014-02-17,0,0.0
33,2014-02-18,0,0.0
34,2014-02-19,0,0.0
35,2014-02-20,0,0.0
36,2014-02-21,0,0.0
37,2014-02-22,0,0.0
38,2014-02-23,0,0.0
39,2014-02-24,0,0.0
40,2014-02-25,0,0.0
41,2014-02-26,0,0.0
42,2014-02-27,0,0.0
43,2014-02-28,0,0.0
44,2014-03-01,0,0.0
45,2014-03-02,0,0.0
46,2014-03-03,0,0.0
47,2014-03-04,0,0.0
48,2014-03-05,0,0.0
49,2014-03-06,0,0.0
50,2014-03-07,0,0.0
51,2014-03-08,0,0.0
52,2014-03-09,0,0.0
53,2014-03-10,0,0.0
54,2014-03-11,0,0.0
55,2014-03-12,0,0.0
56,2014-03-13,0,0.0
57,2014-03-14,0,0.0
58,2014-03-15,0,0.0
59,2014-03-16,0,0.0
60,2014-03-17,0,0.0
61,2014-03-18,0,0.0
62,2014-03-19,0,0.0
63,2014-03-20,0,0.0
64,2014-03-21,0,0.0
65,2014-03-22,0,0.0
66,2014-03-23,0,0.0
67,2014-03-24,0,0.0
68,2014-03-25,0,0.0
69,2014-03-26,0,0.0
70,2014-03-27,0,0.0
71,2014-03-28,0,0.0
72,2014-03-29,0,0.0
73,2014-03-30,0,0.0
74,2014-03-31,0,0.0
75,2014-04-01,0,82.5
76,2014-04-02,0,82.5
77,2014-04-03,0,100.1
78,2014-04-04,0,100.1
79,2014-04-05,1,100.1
80,2014-04-06,1,100.1
81,2014-04-07,1,200.1
82,2014-04-08,1,200.1
83,2014-04-09,1,200.1
84,2014-04-10,1,200.1
85,2014-04-11,1,200.1
86,2014-04-12,1,200.1
87,2014-04-13,1,200.1
88,2014-04-14,1,200.1
89,2014-04-15,1,200.1
90,2014-04-16,1,200.1
91,2014-04-17,1,200.1
92,2014-04-18,1,200.1
93,2014-04-19,1,200.1
94,2014-04-20,1,200.1
95,2014-04-21,1,200.1
96,2014-04-22,1,200.1
97,2014-04-23,1,200.1
98,2014-04-24,1,207.3
99,2014-04-25,1,207.3
100,2014-04-26,1,207.3
101,2014-04-27,1,207.3
102,2014-04-28,1,207.3
103,2014-04-29,1,190.1
104,2014-04-30,1,190.1
105,2014-05-01,1,190.1
106,2014-05-02,1,190.1
107,2014-05-03,1,190.1
108,2014-05-04,1,190.1
109,2014-05-05,1,190.1
110,2014-05-06,1,1062.9
111,2014-05-07,1,1062.9
112,2014-05-08,1,1062.9
113,2014-05-09,1,1062.9
114,2014-05-10,1,1062.9
115,2014-05-11,1,1062.9
116,2014-05-12,1,1062.9
117,2014-05-13,1,1062.9
118,2014-05-14,1,1062.9
119,2014-05-15,1,1062.9
120,2014-05-16,1,1062.9
121,2014-05-17,1,1062.9
122,2014-05-18,1,1062.9
123,2014-05-19,1,1062.9
124,2014-05-20,1,1062.9
125,2014-05-21,1,1062.9
126,2014-05-22,1,1062.9
127,2014-05-23,1,1062.9
128,2014-05-24,1,1062.9
129,2014-05-25,1,1062.9
130,2014-05-26,1,1062.9
131,2014-05-27,1,1062.9
132,2014-05-28,1,1062.9
133,2014-05-29,1,1062.9
134,2014-05-30,1,1062.9
135,2014-05-31,1,1062.9
136,2014-06-01,1,1062.9
137,2014-06-02,1,1062.9
138,2014-06-03,1,1062.9
139,2014-06-04,1,1062.9
140,2014-06-05,1,1062.9
141,2014-06-06,1,1062.9
142,2014-06-07,1,1062.9
143,2014-06-08,1,1062.9
144,2014-06-09,1,1062.9
145,2014-06-10,1,1062.9
146,2014-06-11,1,1062.9
147,2014-06-12,1,1062.9
148,2014-06-13,1,1062.9
149,2014-06-14,1,1062.9
150,2014-06-15,1,1062.9
151,2014-06-16,1,1062.9
152,2014-06-17,1,1062.9
