dia,abierto/cerrado
4/3/2010,0
5/3/2010,0
6/3/2010,0
7/3/2010,0
8/3/2010,0
9/3/2010,0
10/3/2010,0
11/3/2010,0
12/3/2010,0
13/3/2010,0
14/3/2010,0
15/3/2010,0
16/3/2010,0
17/3/2010,0
18/3/2010,0
19/3/2010,0
20/3/2010,0
21/3/2010,0
22/3/2010,0
23/3/2010,0
24/3/2010,0
25/3/2010,0
26/3/2010,0
27/3/2010,0
28/3/2010,0
29/3/2010,0
30/3/2010,0
31/3/2010,0
1/4/2010,0
2/4/2010,0
3/4/2010,0
4/4/2010,0
5/4/2010,0
6/4/2010,0
7/4/2010,0
8/4/2010,0
9/4/2010,0
10/4/2010,0
11/4/2010,0
12/4/2010,0
13/4/2010,0
14/4/2010,0
15/4/2010,0
16/4/2010,0
17/4/2010,0
18/4/2010,0
19/4/2010,0
20/4/2010,0
21/4/2010,0
22/4/2010,0
23/4/2010,0
24/4/2010,0
25/4/2010,0
26/4/2010,0
27/4/2010,0
28/4/2010,0
29/4/2010,0
30/4/2010,0
1/5/2010,0
2/5/2010,0
3/5/2010,0
4/5/2010,0
5/5/2010,0
6/5/2010,0
7/5/2010,0
8/5/2010,0
9/5/2010,0
10/5/2010,0
11/5/2010,0
12/5/2010,0
13/5/2010,0
14/5/2010,0
15/5/2010,0
16/5/2010,0
17/5/2010,0
18/5/2010,0
19/5/2010,0
20/5/2010,0
21/5/2010,0
22/5/2010,0
23/5/2010,0
24/5/2010,0
25/5/2010,0
26/5/2010,0
27/5/2010,0
28/5/2010,0
29/5/2010,0
30/5/2010,0
31/5/2010,0
1/6/2010,0
2/6/2010,0
3/6/2010,0
4/6/2010,1
5/6/2010,1
6/6/2010,1
7/6/2010,1
8/6/2010,1
9/6/2010,1
10/6/2010,1
11/6/2010,1
12/6/2010,1
13/6/2010,1
14/6/2010,1
15/6/2010,1
16/6/2010,1
17/6/2010,1
18/6/2010,0
19/6/2010,0
20/6/2010,0
21/6/2010,0
22/6/2010,0
23/6/2010,0
24/6/2010,0
25/6/2010,0
26/6/2010,0
27/6/2010,0
28/6/2010,0
29/6/2010,0
30/6/2010,0
1/7/2010,0
2/7/2010,1
3/7/2010,1
4/7/2010,1
5/7/2010,1
6/7/2010,1
7/7/2010,1
8/7/2010,1
9/7/2010,1
10/7/2010,1
11/7/2010,1
12/7/2010,1
13/7/2010,1
14/7/2010,1
15/7/2010,1
16/7/2010,1
17/7/2010,1
18/7/2010,1
19/7/2010,1
20/7/2010,1
21/7/2010,1
22/7/2010,1
23/7/2010,1
24/7/2010,1
25/7/2010,1
26/7/2010,1
27/7/2010,1
28/7/2010,1
29/7/2010,1
30/7/2010,1
31/7/2010,1
1/8/2010,1
