Ano,Mes,Dia,Hora,U,V,UI
2010,3,4,0,-3.9572,-5.9248,711.09
2010,3,4,6,-5.9352,-4.1293,502.94
2010,3,4,12,-3.9585,-6.8652,916.47
2010,3,4,18,-6.4998,-5.806,852.4
2010,3,5,0,-8.3075,-2.845,420.84
2010,3,5,6,-8.8098,-1.5964,240.77
2010,3,5,12,-9.516,-2.3049,380.16
2010,3,5,18,-14.221,-3.338,821.4
2010,3,6,0,-14.383,-4.2148,1064.1
2010,3,6,6,-11.215,-6.1981,1337.9
2010,3,6,12,-4.1717,-4.8433,521.53
2010,3,6,18,-0.15788,-1.1242,21.5
2010,3,7,0,-3.4013,-1.4465,90.065
2010,3,7,6,-5.9054,0.52417,-52.349
2010,3,7,12,-3.1337,-2.5063,169.41
2010,3,7,18,-10.24,-7.1875,1514.7
2010,3,8,0,-21.516,-9.5716,3797
2010,3,8,6,-18.509,-4.9698,1604.4
2010,3,8,12,-9.1196,-1.6581,258.89
2010,3,8,18,-13.494,-3.6322,855.04
2010,3,9,0,-13.494,-2.6526,614.48
2010,3,9,6,-14.327,-7.8626,2164.6
2010,3,9,12,-9.6822,-7.4303,1527.6
2010,3,9,18,-13.919,-6.9531,1822.5
2010,3,10,0,-17.457,-6.5617,2061.5
2010,3,10,6,-14.245,-4.4164,1109.5
2010,3,10,12,-4.6204,-6.7665,933.94
2010,3,10,18,-12.845,-6.1894,1486.6
2010,3,11,0,-17.058,-7.7785,2456.6
2010,3,11,6,-15.755,-5.7318,1618.8
2010,3,11,12,-11.079,-7.3267,1639.3
2010,3,11,18,-16.484,-9.1526,2906.9
2010,3,12,0,-16.224,-8.0987,2473.9
2010,3,12,6,-13.522,-7.4829,1948.1
2010,3,12,12,-9.5018,-8.3929,1792.4
2010,3,12,18,-10.921,-9.2688,2236.5
2010,3,13,0,-12.472,-6.9357,1667.4
2010,3,13,6,-8.022,-4.0121,606.2
2010,3,13,12,-1.6957,-5.9955,629.28
2010,3,13,18,-7.7324,-7.9953,1498.1
2010,3,14,0,-9.5741,-4.8297,872.42
2010,3,14,6,-10.405,-4.2341,801.26
2010,3,14,12,-3.5669,-4.6985,466.89
2010,3,14,18,-2.0059,-4.5976,388.49
